-BEGIN HEADER-,,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/2017 through 05/31/2022 ,,,,,,,,,,,,,,,,
Location: Latitude  53.6544   Longitude -1.7683 ,,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 175.95 meters,,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,,
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,,,,,,
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) ,,,,,,,,,,,,,,,,
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) ,,,,,,,,,,,,,,,,
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,,,
PS              MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,,,,,
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,,,
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) ,,,,,,,,,,,,,,,,
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) ,,,,,,,,,,,,,,,,
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) ,,,,,,,,,,,,,,,,
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,,
YEAR,MO,DY,T2M,T2M_RANGE,T2M_MIN,T2M_MAX,QV2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,Date,Stadium
2017,1,1,2.79,6.03,-0.06,5.97,4.52,8.62,99.74,5.66,7.38,2.92,4.45,72.25,01/01/2017,Huddersfield
2017,1,2,-0.32,3.7,-1.54,2.15,3.6,0.11,100.74,4.14,5.84,3.05,2.78,249.88,02/01/2017,Huddersfield
2017,1,3,4.05,5.28,0.79,6.06,4.94,0.53,100.33,7.03,8.52,4.83,3.69,278.69,03/01/2017,Huddersfield
2017,1,4,2.17,8.5,-2.24,6.26,4.27,0.15,100.4,4.73,8.26,2.99,5.27,335.25,04/01/2017,Huddersfield
2017,1,5,-1.29,5.55,-3.08,2.47,3.36,0.02,101.15,2.6,4.8,1.08,3.73,145.31,05/01/2017,Huddersfield
2017,1,6,1.18,4.93,-1.57,3.36,4.03,2.81,100.93,5.15,6.34,3.14,3.2,213.06,06/01/2017,Huddersfield
2017,1,7,5.13,3.23,3.73,6.95,5.49,0.81,100.91,2.69,3.18,1.97,1.22,291.81,07/01/2017,Huddersfield
2017,1,8,5.81,2.56,4.96,7.52,5.68,0.57,100.85,2.64,4.26,2.03,2.23,251.88,08/01/2017,Huddersfield
2017,1,9,5.19,4.42,2.76,7.18,5.37,4.25,99.24,6.57,8.25,4.65,3.6,238.88,09/01/2017,Huddersfield
